"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179172.7",7.92644880291378,1.66358598609922,0.137239626161623,12.1217612771697,8.09994877605283e-34,1.09741241482006e-33
"ENSG00000125944.14",6788.42848623494,-0.452587625334614,0.0275939101796266,-16.401721335919,1.8589526366322e-60,3.39460916254576e-60
"ENSG00000188529.10",1285.096928231,0.122303185898239,0.0287786833485055,4.249783925733,2.1397682559974e-05,2.53155680991241e-05
"ENSG00000116350.11",7735.98419274203,-0.348992940096881,0.0228881140372721,-15.2477805523236,1.70324928150474e-52,2.80535175777251e-52
"ENSG00000134644.11",4571.68878399691,-0.780973314408937,0.0236840228815636,-32.9746900817628,1.87331559622336e-238,1.31132091735635e-237
"ENSG00000183431.7",4655.45343365153,0.486908562561991,0.02516768817083,19.3465748326591,2.17847041161391e-83,4.81556617304127e-83
"ENSG00000134748.12",3920.99693414297,-0.0428403321382049,0.0177328323384791,-2.4158764556322,0.0156973864402155,0.0173497429076066
"ENSG00000116754.9",20674.0565421731,-0.31356479503709,0.0305852319909964,-10.2521633685629,1.15723956152183e-24,1.49550958719745e-24
"ENSG00000117569.14",3019.1777003839,0.915953680428781,0.0347181278880814,26.3825769460117,2.17148076926423e-153,7.60018269242481e-153
"ENSG00000134186.7",4123.26727417581,-0.164536139860439,0.0202727299268665,-8.11613139690609,4.81279588101544e-16,5.94521844125437e-16
"ENSG00000143368.9",4936.831618062,0.882707111943428,0.0326401020073306,27.0436382749411,4.53764691352442e-161,1.90581170368026e-160
"ENSG00000117360.8",4782.08726307423,-0.449212995889388,0.0262438029277549,-17.1169169775433,1.11000504199673e-65,2.11910053472103e-65
"ENSG00000159409.10",421.493601423521,6.04437483715384,0.119423982811443,50.6127387050659,0,0
"ENSG00000153187.12",20174.1594347372,0.0446067470561368,0.0236030095615827,1.88987539659946,0.0587746267737887,0.0617133581124781
"ENSG00000055917.11",6297.09637009137,-0.436366300528914,0.0249026183695114,-17.5229083967798,9.58003238960024e-69,1.87144818773586e-68
"ENSG00000143889.11",3653.19184033628,0.92216992787767,0.0346449253281923,26.6177490394893,4.23006120347993e-156,1.69202448139197e-155
"ENSG00000115875.14",7277.53200082317,-0.363947452989051,0.0237392811070297,-15.3310225085661,4.7445868035241e-53,7.9709058299205e-53
"ENSG00000196504.11",5603.82386614672,0.556537363424758,0.0209941239241884,26.5091968321451,7.59302464847364e-155,2.89915486578085e-154
"ENSG00000170144.14",21008.2060877433,-0.296978886130297,0.0195795691634672,-15.167794738018,5.77859202887725e-52,9.15852321557904e-52
"ENSG00000115524.11",24086.7157638247,-0.824956491637324,0.0294313345333675,-28.0298703649349,7.02920694371121e-173,3.2802965737319e-172
"ENSG00000004534.10",16095.7435376691,-0.11955652103726,0.0579597527245353,-2.06275070919428,0.0391363193252384,0.0421468054271798
"ENSG00000003756.12",12596.7217615559,-0.5043046955468,0.0339613138036465,-14.8493871133057,7.02075756512972e-50,1.07226115540163e-49
"ENSG00000136527.13",6274.86405548198,-0.0597888135526112,0.0171554469815783,-3.48512129219442,0.000491914003425212,0.000558388868752943
