"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179172.7",2.13888505474915,-0.099509015166648,0.040670295106147,-2.44672468952919,0.0144160910038172,0.804414847501869
"ENSG00000125944.14",5651.61178683438,0.045888577087845,0.0366829749324348,1.25095026159589,0.210952624646054,0.954622888616073
"ENSG00000188529.10",482.434064710936,-0.0138514839508773,0.0631642607123024,-0.219293058996881,0.826421768442033,0.978107343542264
"ENSG00000116350.11",4681.93647129485,-0.0436583367713512,0.0416350660741543,-1.04859535213883,0.294364395931811,0.954622888616073
"ENSG00000134644.11",5701.48359356717,0.0345396460390077,0.0585736260261651,0.589679150537457,0.555405775814215,0.954622888616073
"ENSG00000183431.7",2148.08861964795,-0.0333195498487457,0.0396795368664096,-0.839716198324687,0.401067529573696,0.954622888616073
"ENSG00000134748.12",2454.65090637295,-0.069473479041503,0.0551348445581234,-1.26006483918285,0.207645972960386,0.954622888616073
"ENSG00000116754.9",8524.86214207378,0.0237653264286291,0.047876418433554,0.496388978252669,0.619619999777704,0.954622888616073
"ENSG00000117569.14",2698.86333116651,0.0383240269960094,0.0568282777863232,0.674383044654449,0.500067819483,0.954622888616073
"ENSG00000134186.7",3033.89736678604,-0.0536753540566715,0.0543486258789657,-0.987611980774021,0.323342716443958,0.954622888616073
"ENSG00000143368.9",1446.23865082508,-0.0469739872008358,0.0542527456093246,-0.865836128167535,0.386580033768376,0.954622888616073
"ENSG00000117360.8",2004.69988914255,-0.0375748381627833,0.0502223214460465,-0.748170078182261,0.454357576693329,0.954622888616073
"ENSG00000159409.10",6336.89081709501,0.06619065652865,0.0634212582184605,1.04366671977163,0.296639612425558,0.954622888616073
"ENSG00000153187.12",12399.7702989666,-0.0378747794216884,0.034262718038021,-1.1054224997462,0.268976558860134,0.954622888616073
"ENSG00000055917.11",5381.31286703196,0.00339234205861737,0.0502488961821594,0.067510777675984,0.946175082257002,0.978107343542264
"ENSG00000143889.11",1510.83112557775,0.0801646958353428,0.0480351710798925,1.66887499374182,0.0951421563278087,0.954622888616073
"ENSG00000115875.14",4107.59993890551,0.0171823285457183,0.041917531985971,0.409907924719158,0.681873491868624,0.954622888616073
"ENSG00000196504.11",2558.58275392602,-0.0108854911884558,0.0548070579942256,-0.19861476946277,0.842564099422742,0.978107343542264
"ENSG00000170144.14",13113.2225836147,0.00856286532737609,0.0391440396198508,0.218752724821831,0.826842675023802,0.978107343542264
"ENSG00000115524.11",10728.3954163505,-0.0326353900802604,0.0468929011835832,-0.695955875122646,0.48645646355024,0.954622888616073
"ENSG00000004534.10",7234.84493375666,-0.0467633470739533,0.0610752307253718,-0.765667956036504,0.443873898312019,0.954622888616073
"ENSG00000003756.12",5596.84498502956,-0.00810079696035483,0.05247946941912,-0.154361258793585,0.877324898498711,0.978107343542264
"ENSG00000136527.13",3792.44710806419,-0.0391101892283658,0.0460432445648732,-0.84942296308552,0.395645979999281,0.954622888616073
"ENSG00000138668.14",5899.42138705756,0.00208974708018634,0.0289694283517078,0.0721362898437428,0.94249344632145,0.978107343542264
"ENSG00000152795.13",12766.5506337066,0.0661847146389261,0.0517569057191785,1.27876104104889,0.200981216984955,0.954622888616073
"ENSG00000109381.15",1305.63946690594,-0.00613780775140838,0.0583727764154727,-0.105148463518714,0.916258004086133,0.978107343542264
"ENSG00000177733.4",4589.57059642187,0.0594127117412618,0.047970019817765,1.2385384030894,0.215516491662715,0.954622888616073
