# packages in environment at /opt/conda:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       0_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
alembic                   1.4.0                      py_0    conda-forge
async_generator           1.10                       py_0    conda-forge
attrs                     19.3.0                     py_0    conda-forge
backcall                  0.1.0                      py_0    conda-forge
beautifulsoup4            4.8.0                    py37_0    conda-forge
binutils_impl_linux-64    2.33.1               h53a641e_8    conda-forge
binutils_linux-64         2.33.1              h9595d00_16    conda-forge
bioconductor-annotate     1.64.0                    r36_0    bioconda
bioconductor-annotationdbi 1.48.0                    r36_0    bioconda
bioconductor-biobase      2.46.0            r36h516909a_0    bioconda
bioconductor-biocfilecache 1.10.0                    r36_0    bioconda
bioconductor-biocgenerics 0.32.0                    r36_0    bioconda
bioconductor-biocparallel 1.20.0            r36he1b5a44_0    bioconda
bioconductor-biomart      2.42.0                    r36_0    bioconda
bioconductor-biostrings   2.54.0            r36h516909a_0    bioconda
bioconductor-delayedarray 0.12.0            r36h516909a_0    bioconda
bioconductor-edger        3.28.0            r36he1b5a44_0    bioconda
bioconductor-genefilter   1.68.0            r36hc99cbb1_0    bioconda
bioconductor-genomeinfodb 1.22.0                    r36_0    bioconda
bioconductor-genomeinfodbdata 1.2.2                     r36_0    bioconda
bioconductor-genomicalignments 1.22.0            r36h516909a_0    bioconda
bioconductor-genomicfeatures 1.38.0                    r36_0    bioconda
bioconductor-genomicranges 1.38.0            r36h516909a_0    bioconda
bioconductor-iranges      2.20.0            r36h516909a_0    bioconda
bioconductor-limma        3.42.0            r36h516909a_0    bioconda
bioconductor-rhtslib      1.18.0            r36hdb70ac9_1    bioconda
bioconductor-rsamtools    2.2.0             r36he1b5a44_0    bioconda
bioconductor-rtracklayer  1.46.0            r36h516909a_0    bioconda
bioconductor-s4vectors    0.24.0            r36h516909a_0    bioconda
bioconductor-summarizedexperiment 1.16.0                    r36_0    bioconda
bioconductor-xvector      0.26.0            r36h516909a_0    bioconda
bioconductor-zlibbioc     1.32.0            r36h516909a_0    bioconda
