ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000143257.11"	"NR1I3"	chr1	-	161236458	161236598	161236529	161236598	161235846	161235977
2	"ENSG00000198492.15"	"YTHDF2"	chr1	+	28737749	28737829	28737749	28737797	28738258	28738338
3	"ENSG00000137841.11"	"PLCB2"	chr15	-	40296745	40296908	40296757	40296908	40296521	40296634
4	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48478616	48478707	48478616	48478680	48479037	48479116
5	"ENSG00000058335.15"	"RASGRF1"	chr15	-	79006176	79006434	79006185	79006434	79003801	79004175
6	"ENSG00000125538.11"	"IL1B"	chr2	-	112833116	112833575	112833373	112833575	112832661	112832826
7	"ENSG00000122861.15"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322
8	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65112894	65112810	65112865	65113219	65113414
9	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65113414	65112810	65112865	65113490	65113594
10	"ENSG00000028310.17"	"BRD9"	chr5	-	892086	892522	892420	892522	891639	891854
11	"ENSG00000169598.15"	"DFFB"	chr1	+	3858717	3858866	3858717	3858844	3865811	3866000
12	"ENSG00000169598.15"	"DFFB"	chr1	+	3858717	3858866	3858717	3858844	3865761	3866000
13	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19601991	19602495	19602401	19602495	19601770	19601865
14	"ENSG00000135413.8"	"LACRT"	chr12	-	54631721	54631806	54631737	54631806	54630810	54630953
15	"ENSG00000161609.9"	"CCDC155"	chr19	+	49393345	49393419	49393345	49393400	49394475	49394580
16	"ENSG00000166451.13"	"CENPN"	chr16	+	81014135	81014391	81014135	81014181	81017325	81017385
17	"ENSG00000138316.10"	"ADAMTS14"	chr10	+	70730101	70730258	70730101	70730249	70732253	70732359
18	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183071	84183149	84183075	84183149	84182201	84182440
19	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2979647	2979936	2979807	2979936	2976663	2977031
20	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2979647	2979912	2979815	2979912	2976663	2977031
21	"ENSG00000127564.16"	"PKMYT1"	chr16	-	2979807	2979912	2979815	2979912	2976663	2977031
22	"ENSG00000141367.11"	"CLTC"	chr17	+	59644275	59644495	59644275	59644483	59647397	59647666
23	"ENSG00000157045.8"	"NTAN1"	chr16	-	15047417	15047550	15047441	15047550	15044333	15044407
24	"ENSG00000157045.8"	"NTAN1"	chr16	-	15047996	15048099	15048077	15048099	15047854	15047920
25	"ENSG00000143036.16"	"SLC44A3"	chr1	+	94827506	94827643	94827506	94827547	94828492	94828586
26	"ENSG00000113658.16"	"SMAD5"	chr5	+	136133352	136133959	136133352	136133473	136147831	136147906
27	"ENSG00000000419.12"	"DPM1"	chr20	-	50941104	50941209	50941128	50941209	50940864	50940933
28	"ENSG00000173171.14"	"MTX1"	chr1	+	155210345	155210435	155210345	155210415	155210547	155210627
29	"ENSG00000173171.14"	"MTX1"	chr1	+	155210547	155212219	155210547	155210627	155212384	155212567
30	"ENSG00000196628.14"	"TCF4"	chr18	-	55232508	55232671	55232520	55232671	55228846	55229076
31	"ENSG00000196628.14"	"TCF4"	chr18	-	55401579	55402039	55401857	55402039	55350873	55351003
32	"ENSG00000196628.14"	"TCF4"	chr18	-	55586920	55587136	55587044	55587136	55585279	55585352
33	"ENSG00000157184.6"	"CPT2"	chr1	+	53210014	53211319	53210014	53211250	53212780	53212816
34	"ENSG00000157184.6"	"CPT2"	chr1	+	53210014	53211369	53210014	53211319	53213263	53214170
35	"ENSG00000157184.6"	"CPT2"	chr1	+	53210014	53211319	53210014	53211250	53213263	53214178
36	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55832958	55833038	55832958	55833014	55833446	55833541
37	"ENSG00000149582.15"	"TMEM25"	chr11	+	118531201	118532461	118531201	118531234	118532916	118533207
38	"ENSG00000042317.16"	"SPATA7"	chr14	+	88396155	88396203	88396155	88396184	88416710	88416844
39	"ENSG00000042317.16"	"SPATA7"	chr14	+	88385672	88386031	88385672	88385837	88391380	88391455
40	"ENSG00000134419.15"	"RPS15A"	chr16	-	18790243	18790334	18790309	18790334	18788980	18789118
41	"ENSG00000101311.15"	"FERMT1"	chr20	-	6119403	6119572	6119420	6119572	6115810	6116044
42	"ENSG00000260596.5"	"DUX4"	chr4	+	190173773	190175056	190173773	190174250	190175192	190175284
43	"ENSG00000118894.14"	"EEF2KMT"	chr16	-	5095374	5095514	5095451	5095514	5091793	5091895
44	"ENSG00000142227.10"	"EMP3"	chr19	+	48327520	48327664	48327520	48327623	48329351	48329492
45	"ENSG00000142227.10"	"EMP3"	chr19	+	48327520	48327623	48327520	48327561	48329351	48329492
46	"ENSG00000142227.10"	"EMP3"	chr19	+	48327520	48327664	48327520	48327561	48329351	48329492
47	"ENSG00000169398.19"	"PTK2"	chr8	-	140675429	140675499	140675459	140675499	140674297	140674404
48	"ENSG00000131018.22"	"SYNE1"	chr6	-	152354658	152354976	152354724	152354976	152353588	152353744
49	"ENSG00000131018.22"	"SYNE1"	chr6	-	152352026	152352353	152352167	152352353	152350617	152350770
50	"ENSG00000232554.8"	"RSU1P2"	chr10	-	45106996	45107083	45107000	45107083	45106615	45106730
51	"ENSG00000150636.16"	"CCDC102B"	chr18	+	68846312	68846421	68846312	68846378	68874668	68874785
52	"ENSG00000169247.11"	"SH3TC2"	chr5	-	149041415	149041617	149041473	149041617	149040603	149040677
53	"ENSG00000196739.14"	"COL27A1"	chr9	+	114231821	114231866	114231821	114231858	114235598	114235652
54	"ENSG00000196739.14"	"COL27A1"	chr9	+	114252592	114252653	114252592	114252646	114252878	114252932
55	"ENSG00000128191.14"	"DGCR8"	chr22	+	20106591	20106698	20106591	20106685	20107270	20107398
56	"ENSG00000185038.14"	"MROH2A"	chr2	+	233823555	233823682	233823555	233823664	233828629	233828779
57	"ENSG00000185038.14"	"MROH2A"	chr2	+	233822362	233822571	233822362	233822556	233822880	233823018
58	"ENSG00000073060.15"	"SCARB1"	chr12	-	124786356	124786503	124786440	124786503	124782682	124782811
59	"ENSG00000085511.19"	"MAP3K4"	chr6	+	161093772	161093851	161093772	161093839	161097079	161097176
60	"ENSG00000169752.16"	"NRG4"	chr15	-	76012301	76012422	76012318	76012422	76011220	76011286
61	"ENSG00000068079.7"	"IFI35"	chr17	+	43013266	43013379	43013266	43013373	43013475	43013662
62	"ENSG00000141497.13"	"ZMYND15"	chr17	+	4743766	4744107	4743766	4743847	4744189	4744278
63	"ENSG00000184900.15"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118
64	"ENSG00000184900.15"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040
