ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230933	161231116	161231245
2	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230918	161231116	161231245
3	"ENSG00000156671.12"	"SAMD8"	chr10	+	75176065	75182123	75176065	75176216	75176387	75182123
4	"ENSG00000274602.4"	"PI4KAP1"	chr22	-	18536649	18537412	18536649	18536808	18537294	18537412
5	"ENSG00000274602.4"	"PI4KAP1"	chr22	-	18548010	18548469	18548010	18548118	18548317	18548469
6	"ENSG00000117480.15"	"FAAH"	chr1	+	46405587	46406078	46405587	46405794	46406037	46406078
7	"ENSG00000137841.11"	"PLCB2"	chr15	-	40291264	40291924	40291264	40291487	40291848	40291924
8	"ENSG00000137841.11"	"PLCB2"	chr15	-	40287908	40288918	40287908	40288008	40288601	40288918
9	"ENSG00000137841.11"	"PLCB2"	chr15	-	40290576	40290837	40290576	40290672	40290760	40290837
10	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48482596	48483027	48482596	48482794	48482985	48483027
11	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48477960	48478518	48477960	48478168	48478448	48478518
12	"ENSG00000068438.14"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48481631	48481715
13	"ENSG00000125538.11"	"IL1B"	chr2	-	112836182	112836779	112836182	112836244	112836707	112836779
14	"ENSG00000186088.15"	"GSAP"	chr7	-	77329332	77330367	77329332	77329391	77330238	77330367
15	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65114712	65115081	65114712	65114832	65114912	65115081
16	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65113414	65112810	65112894	65113219	65113414
17	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65112810	65113414	65112810	65112865	65113219	65113414
18	"ENSG00000149809.14"	"TM7SF2"	chr11	+	65114912	65115598	65114912	65115081	65115475	65115598
19	"ENSG00000204264.8"	"PSMB8"	chr6	-	32842671	32843089	32842671	32842783	32842941	32843089
20	"ENSG00000204264.8"	"PSMB8"	chr6	-	32842671	32843089	32842671	32842711	32842941	32843089
21	"ENSG00000028310.17"	"BRD9"	chr5	-	868606	869119	868606	868804	869037	869119
22	"ENSG00000169598.15"	"DFFB"	chr1	+	3883506	3885429	3883506	3883800	3885037	3885429
23	"ENSG00000083838.15"	"ZNF446"	chr19	+	58479642	58480019	58479642	58479727	58479929	58480019
24	"ENSG00000083838.15"	"ZNF446"	chr19	+	58480175	58481224	58480175	58480619	58480703	58481224
25	"ENSG00000070814.17"	"TCOF1"	chr5	+	150375720	150376330	150375720	150375909	150376081	150376330
26	"ENSG00000070814.17"	"TCOF1"	chr5	+	150391543	150392176	150391543	150391657	150391956	150392176
27	"ENSG00000161609.9"	"CCDC155"	chr19	+	49408966	49409283	49408966	49409031	49409195	49409283
28	"ENSG00000146830.9"	"GIGYF1"	chr7	-	100685973	100686433	100685973	100686079	100686179	100686433
29	"ENSG00000146830.9"	"GIGYF1"	chr7	-	100684019	100684337	100684019	100684157	100684236	100684337
30	"ENSG00000226571.1"	"RP11-445F6.2"	chr6	+	139286844	139287307	139286844	139286902	139287009	139287307
31	"ENSG00000103168.16"	"TAF1C"	chr16	-	84181745	84182058	84181745	84181863	84181941	84182058
32	"ENSG00000103168.16"	"TAF1C"	chr16	-	84183075	84183328	84183075	84183149	84183243	84183328
33	"ENSG00000103168.16"	"TAF1C"	chr16	-	84180169	84181186	84180169	84180344	84181042	84181186
